# CF 优选 IP 合并清单 | 共 491 条 | 由 5 个公开源合并去重
# 来源: https://cf.junzhen.qzz.io/best_ips.txt + https://cf.junzhen.qzz.io/full_ips.txt + https://raw.githubusercontent.com/cmliu/WorkerVless2sub/main/addressesapi.txt + https://raw.githubusercontent.com/KafeMars/best-ips-domains/main/cf-bestips.txt + https://raw.githubusercontent.com/HandsomeMJZ/cfip/main/best_ips.txt
# 带速度标注的最优选在前。可直接填进 edgetunnel『优选订阅地址』
95.182.90.45:8443#LV [0M]
94.103.188.145:443#MD [0M]
213.232.235.54:8443#MD [0M]
91.229.239.172:443#MD [0M]
89.185.82.188:443#MK [0M]
195.144.24.34:443#MK [0M]
195.144.24.134:443#MK [0M]
131.196.254.212:443#MX [0M]
216.238.80.148:8443#MX [0M]
216.238.78.167:443#MX [0M]
216.238.79.83:8443#MX [0M]
149.118.158.90:8443#MY [0M]
47.250.81.46:2087#MY [0M]
47.250.212.59:443#MY [0M]
47.250.212.59:2053#MY [0M]
45.194.27.99:443#MY [0M]
216.173.67.159:443#MY [0M]
23.27.113.20:8443#MY [0M]
149.118.144.163:443#MY [0M]
166.1.249.151:443#MY [0M]
202.187.7.166:443#MY [0M]
102.130.48.155:2053#NG [0M]
169.255.57.210:443#NG [0M]
212.34.131.164:443#NL [0M]
188.226.159.38:443#NL [0M]
146.185.141.92:443#NL [0M]
158.101.216.230:443#NL [0M]
185.236.20.72:2053#NL [0M]
188.226.157.41:443#NL [0M]
193.123.63.250:443#NL [0M]
212.34.144.26:8443#NL [0M]
159.223.224.122:2096#NL [0M]
146.185.146.150:2096#NL [0M]
185.125.171.128:8443#NO [0M]
194.68.32.99:443#NO [0M]
194.5.98.105:2053#NO [0M]
144.31.217.95:443#NO [0M]
89.185.81.54:443#NO [0M]
46.29.238.112:443#NO [0M]
51.120.78.105:2053#NO [0M]
81.29.149.219:8443#NO [0M]
194.5.98.105:8443#NO [0M]
194.5.98.103:443#NO [0M]
114.23.136.104:443#NZ [0M]
31.76.22.45:2053#PL [0M]
195.72.189.4:8443#PL [0M]
145.239.85.117:8443#PL [0M]
31.76.22.109:443#PL [0M]
95.85.255.253:443#PL [0M]
217.30.10.55:2087#PL [0M]
31.76.22.83:443#PL [0M]
31.76.22.81:8443#PL [0M]
31.76.22.28:8443#PL [0M]
91.149.253.26:443#PL [0M]
195.133.92.74:443#PT [0M]
82.152.132.52:443#RO [0M]
82.152.132.60:443#RO [0M]
193.168.140.197:443#RO [0M]
103.126.50.196:8443#RO [0M]
178.214.211.99:443#RO [0M]
178.214.211.48:8443#RO [0M]
193.168.140.197:8443#RO [0M]
193.142.58.170:8443#RO [0M]
82.152.132.53:443#RO [0M]
85.120.229.219:443#RO [0M]
38.244.190.206:443#RS [0M]
130.49.163.54:8443#RS [0M]
185.48.250.175:443#RS [0M]
185.48.250.113:443#RS [0M]
195.133.18.146:443#RS [0M]
185.48.250.113:8443#RS [0M]
185.105.108.92:8443#RS [0M]
185.48.251.100:443#RS [0M]
109.71.242.243:8443#RU [0M]
157.22.185.45:2053#RU [0M]
157.22.190.189:2053#RU [0M]
176.32.37.118:443#RU [0M]
80.87.198.98:443#RU [0M]
46.29.166.202:8443#RU [0M]
92.243.66.201:443#RU [0M]
37.230.113.248:8443#RU [0M]
212.113.98.154:443#RU [0M]
193.37.71.95:443#RU [0M]
130.94.58.215:443#SA [0M]
130.94.58.215:8443#SA [0M]
148.253.211.49:443#SE [0M]
95.141.241.216:443#SE [0M]
16.171.11.113:8443#SE [0M]
16.170.253.163:443#SE [0M]
176.126.70.158:443#SE [0M]
62.182.196.194:8443#SE [0M]
217.147.14.244:8443#SE [0M]
213.21.240.183:8443#SE [0M]
185.231.102.159:2053#SE [0M]
196.196.5.28:443#SE [0M]
157.245.207.10:443#SG [0M]
157.245.151.248:443#SG [0M]
157.245.54.118:8443#SG [0M]
140.245.114.190:443#SG [0M]
140.245.38.33:2096#SG [0M]
159.65.0.116:443#SG [0M]
157.245.159.88:443#SG [0M]
157.245.151.130:443#SG [0M]
159.65.15.18:443#SG [0M]
157.245.155.10:443#SG [0M]
89.46.42.141:8443#SK [0M]
89.46.42.92:2053#SK [0M]
89.46.42.92:8443#SK [0M]
88.218.1.42:443#SK [0M]
91.242.163.179:2053#SK [0M]
157.85.105.126:443#TH [0M]
103.224.84.70:443#TH [0M]
45.150.128.159:443#TH [0M]
43.133.110.81:443#TH [0M]
130.94.1.177:443#TR [0M]
194.87.129.221:443#TR [0M]
94.131.123.74:443#TR [0M]
212.87.199.179:8443#TR [0M]
78.135.77.27:443#TR [0M]
130.94.1.95:443#TR [0M]
185.234.66.91:443#TR [0M]
188.132.183.17:443#TR [0M]
212.192.6.66:443#TR [0M]
103.83.87.133:443#TR [0M]
83.147.15.86:443#TW [0M]
140.235.38.47:443#TW [0M]
202.148.220.45:8443#TW [0M]
202.148.220.230:443#TW [0M]
213.210.4.48:443#TW [0M]
85.237.207.126:443#TW [0M]
83.147.12.252:443#TW [0M]
151.242.189.40:443#TW [0M]
82.152.90.178:443#TW [0M]
23.146.248.149:443#TW [0M]
213.111.148.137:443#UA [0M]
91.231.182.162:8443#UA [0M]
213.111.149.58:8443#UA [0M]
91.239.65.102:443#UA [0M]
91.238.105.102:443#UA [0M]
47.57.181.17:443#US [0M]
103.242.133.57:443#US [0M]
45.131.179.106:8443#US [4M]
45.144.136.19:8443#US [0M]
95.40.227.67:443#US [0M]
157.119.103.52:443#US [0M]
64.186.226.19:8443#US [0M]
216.40.86.49:443#US [0M]
208.68.180.131:443#US [0M]
154.12.54.201:443#US [0M]
94.154.128.132:443#UZ [0M]
157.22.128.7:443#UZ [0M]
46.8.194.76:2053#UZ [0M]
157.22.133.86:443#UZ [0M]
160.30.50.48:443#VN [0M]
160.25.75.40:443#VN [0M]
180.93.3.99:443#VN [0M]
157.66.26.194:443#VN [0M]
139.84.231.16:8443#ZA [0M]
139.84.230.41:443#ZA [0M]
139.84.236.69:443#ZA [0M]
134.185.99.52:443#KR
134.185.127.173:443#KR
146.56.119.205:443#KR
168.110.112.196:8443#KR
104.24.85.58:443#MIX
104.24.87.44:443#MIX
172.64.189.169:443#MIX
172.65.125.138:443#MIX
172.65.130.213:443#MIX
172.65.132.100:443#MIX
172.65.136.58:443#MIX
172.65.145.174:443#MIX
172.65.179.253:443#MIX
172.65.199.117:443#MIX
172.65.209.122:443#MIX
172.65.218.115:443#MIX
172.65.222.92:443#MIX
172.65.223.132:443#MIX
172.65.224.141:443#MIX
172.65.25.224:443#MIX
172.65.41.73:443#MIX
172.65.48.160:443#MIX
172.65.84.8:443#MIX
172.67.98.233:443#MIX
